#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-01-09T21:16:39 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-01-09T21:16:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/ApJ/772/82/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/772/82/table1&-out=VMag&-out=e_VMag&-out=Ngc&-out=e_Ngc&-out=sigma&-out=e_sigma&-out=logMd&-out=logMB&-out=E_logMB&-out=e_logMB&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17720082
#Name: J/ApJ/772/82
#Title: A catalog of globular cluster systems (Harris+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/772/82	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:2013ApJ...772...82H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/772/82	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17720082	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_772_82_table1:
#Name: J/ApJ/772/82/table1
#Title: Globular cluster systems
#Column	VMag	(F7.3)	[-25/-11]? Absolute visual magnitude (1)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F6.3)	[0.2/1.5]? Uncertainty in VMag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Ngc	(F7.1)	[0/32500] Number of Globular Clusters (N_GC_)	[ucd=meta.number]
#Column	e_Ngc	(F7.1)	[0/20000] Uncertainty in Ngc	[ucd=stat.error]
#Column	sigma	(F5.1)	[10/414]? Stellar velocity dispersion (3)	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(F4.1)	? Uncertainty in sigma	[ucd=stat.error]
#Column	logMd	(F6.3)	[7.6/12.8]? Log of dynamical mass	[ucd=phys.mass]
#Column	logMB	(F5.2)	? Log of central supermassive black hole mass (6)	[ucd=phys.mass]
#Column	E_logMB	(F5.2)	? Upper uncertainty in logMB	[ucd=stat.error;stat.max]
#Column	e_logMB	(F5.2)	? Lower uncertainty in logMB	[ucd=stat.error]
VMag;e_VMag;Ngc;e_Ngc;sigma;e_sigma;logMd;logMB;E_logMB;e_logMB
mag;mag; ; ;km/s;km/s;[Msun];[Msun];[Msun];[Msun]
-------;------;-------;-------;-----;----;------;-----;-----;-----
-21.300; 0.300;  160.0;   10.0;105.0;20.0; 9.856; 6.61; 0.04; 0.04
-14.840; 0.200;    1.0;    0.0;     ;    ;      ;     ;     ;
-20.180; 0.280;  150.0;   40.0;169.2; 7.2;10.879;     ;     ;
-18.770; 0.200;   36.0;   15.0;     ;    ;      ;     ;     ;
-15.460; 0.300;   10.0;    2.0; 22.0; 5.0; 8.408;     ;     ;
-15.400; 0.200;    8.0;    1.0; 19.9; 2.4; 8.105;     ;     ;
-16.660; 0.200;   11.0;    3.0; 31.2; 4.7; 8.775; 0.00; 4.58; 0.00
-16.540; 0.210;    0.0;    1.0; 75.0; 3.0; 8.843; 6.46; 0.08; 0.10
-21.800; 0.200;  450.0;  100.0;160.0; 8.0;11.046; 8.18; 0.20; 0.10
-18.800; 0.200;   60.0;   30.0;     ;    ;      ;     ;     ;
-21.010; 0.200;   90.0;   40.0;102.6;18.8;10.571; 7.00; 0.30; 0.30
-16.820; 0.200;    1.0;    1.0;     ;    ;      ;     ;     ;
-18.400; 0.200;   70.0;   30.0;     ;    ;      ;     ;     ;
-14.350; 0.200;    5.0;    2.0;     ;    ;      ;     ;     ;
-19.140; 0.250;   85.0;   24.0;     ;    ;      ;     ;     ;
-20.970; 0.200;  609.0;   94.0;163.4; 5.4;11.078;     ;     ;
-21.850; 0.200; 3300.0; 1000.0;253.5; 7.8;11.524;     ;     ;
-22.390; 0.220; 1620.0;  450.0;219.8; 4.0;11.759; 0.00; 8.93; 0.00
-21.180; 0.340;  500.0;  200.0;205.9; 4.2;10.983;     ;     ;
-19.000; 0.200;   50.0;   20.0; 37.2;16.3; 9.618; 0.00; 3.48; 0.00
-21.400; 0.200;  210.0;   20.0;249.1;46.5;      ;     ;     ;
-15.300; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-22.130; 0.200; 4700.0; 1000.0;229.8; 9.7;11.937;     ;     ;
-22.080; 0.230;  660.0;  190.0;241.1; 6.7;11.418;     ;     ;
-16.870; 0.200;    6.0;    2.0;     ;    ;      ;     ;     ;
-21.530; 0.200;  320.0;   45.0;209.0;10.0;11.361; 8.23; 0.16; 0.25
-21.400; 0.200;   70.0;   20.0; 73.1;10.2;10.431;     ;     ;
-22.290; 0.220; 4245.0; 1100.0;249.2; 8.0;11.728;     ;     ;
-13.000; 0.200;    5.0;    0.0; 10.4; 0.7; 7.693;     ;     ;
-21.140; 0.200;  490.0;   30.0;209.0;10.0;10.950; 7.64; 0.04; 0.04
-15.550; 0.530;    5.7;    2.5;     ;    ;      ;     ;     ;
-21.050; 0.200;  400.0;   45.0;206.9; 4.0;11.100; 0.00; 8.53; 0.00
-21.300; 0.200;  210.0;   40.0; 80.0;15.0;      ;     ;     ;
