Name,VMag,VMag_err,NGC,NGC_err,sigma,sigma_err,logMd,logMB,logMB_err_hi,logMB_err_lo
MilkyWay,-21.300,0.300,160.0,10.0,105.0,20.0,9.856,6.61,0.04,0.04
NGC224,-21.800,0.200,450.0,100.0,160.0,8.0,11.046,8.18,0.20,0.10
NGC221,-16.540,0.210,1.0,9.0,75.0,3.0,8.843,6.46,0.08,0.10
NGC253,-21.010,0.200,90.0,40.0,102.6,18.8,10.571,7.00,0.30,0.30
NGC821,-21.530,0.200,320.0,45.0,209.0,10.0,11.361,8.23,0.16,0.25
NGC1023,-21.140,0.200,490.0,30.0,209.0,10.0,10.950,7.64,0.04,0.04
NGC1316,-23.160,0.200,1000.0,500.0,227.7,3.1,11.692,8.24,0.17,0.23
NGC1332,-21.620,0.200,1000.0,500.0,320.9,13.7,11.420,9.17,0.06,0.06
NGC1399,-22.030,0.200,6000.0,700.0,337.0,16.0,12.011,8.69,0.06,0.07
NGC2778,-19.450,0.360,50.0,30.0,175.0,8.0,10.698,7.15,0.30,0.30
NGC3031,-21.080,0.200,300.0,100.0,143.0,7.0,10.812,7.84,0.11,0.06
NGC3115,-21.190,0.200,550.0,80.0,230.0,11.0,10.871,8.96,0.19,0.15
NGC3377,-19.950,0.200,191.0,15.0,145.0,7.0,10.557,8.25,0.19,0.29
NGC3379,-20.900,0.200,216.0,42.0,206.0,10.0,10.849,8.04,0.22,0.26
NGC3384,-20.490,0.200,120.0,30.0,143.0,7.0,10.426,7.04,0.16,0.26
NGC3414,-21.100,0.420,400.0,200.0,236.8,7.5,11.122,8.40,0.06,0.08
NGC3585,-21.810,0.230,300.0,100.0,213.0,10.0,11.256,8.51,0.15,0.13
NGC3607,-21.500,0.200,600.0,200.0,229.0,11.0,11.310,8.15,0.10,0.15
NGC3608,-21.110,0.200,450.0,200.0,182.0,9.0,11.062,8.67,0.09,0.10
NGC3842,-23.140,0.200,12000.0,3000.0,315.0,8.0,12.205,9.99,0.12,0.13
NGC4261,-22.140,0.210,1242.0,250.0,315.0,15.0,11.836,8.71,0.08,0.09
NGC4291,-20.740,0.380,950.0,170.0,242.0,12.0,11.077,8.98,0.10,0.18
NGC4350,-20.050,0.200,196.0,60.0,180.5,7.2,10.793,8.74,0.10,0.10
NGC4374,-22.360,0.200,4301.0,1201.0,296.0,14.0,11.648,8.96,0.05,0.04
NGC4459,-20.810,0.200,218.0,28.0,167.0,8.0,10.904,7.84,0.08,0.08
NGC4472,-22.820,0.200,7000.0,800.0,293.8,2.9,12.007,9.26,0.12,0.18
NGC4473,-20.810,0.200,376.0,97.0,190.0,9.0,11.005,7.95,0.19,0.29
NGC4486,-22.610,0.200,13000.0,800.0,375.0,18.0,11.980,9.77,0.03,0.03
NGC4486A,-18.700,0.200,11.0,12.0,111.0,5.0,9.795,7.15,0.13,0.11
NGC4552,-20.390,0.200,1100.0,200.0,252.5,3.3,11.342,8.68,0.04,0.05
NGC4564,-20.000,0.200,213.0,31.0,162.0,8.0,10.638,7.92,0.10,0.14
NGC4594,-22.120,0.200,1900.0,200.0,240.0,12.0,11.262,8.72,0.30,0.57
NGC4621,-21.340,0.200,803.0,355.0,225.1,3.2,11.333,8.60,0.06,0.07
NGC4649,-22.410,0.200,4000.0,500.0,385.0,19.0,11.992,9.63,0.09,0.11
NGC4697,-21.270,0.200,229.0,70.0,177.0,8.0,11.087,8.28,0.08,0.10
NGC4889,-23.470,0.200,11000.0,2000.0,400.8,5.6,12.354,10.32,0.25,0.62
NGC5128,-21.260,0.200,1300.0,300.0,150.0,7.0,11.110,7.71,0.13,0.19
IC4296,-23.080,0.200,6400.0,300.0,322.0,16.0,12.014,9.13,0.06,0.07
NGC5813,-22.270,0.230,2900.0,400.0,236.5,3.4,11.667,8.84,0.07,0.07
NGC5846,-22.120,0.250,4670.0,1195.0,239.3,4.3,11.605,9.04,0.07,0.09
NGC6086,-23.040,0.220,9200.0,2500.0,334.4,9.5,12.228,9.56,0.16,0.16
NGC7332,-20.830,0.250,175.0,15.0,124.9,3.3,10.376,7.11,0.17,0.21
IC1459,-22.040,0.200,2100.0,730.0,306.1,7.8,11.635,9.45,0.14,0.25
NGC7457,-19.580,0.250,160.0,50.0,67.0,3.0,9.935,7.00,0.20,0.40
NGC7768,-23.070,0.200,3000.0,1300.0,312.8,15.4,12.142,9.11,0.14,0.16
